MET.SUB/DISTRICT/STATION,AREA(sq. km),,1-Jan-21,2-Jan-21,3-Jan-21,4-Jan-21,5-Jan-21,6-Jan-21,7-Jan-21,8-Jan-21,9-Jan-21,10-Jan-21,11-Jan-21,12-Jan-21,13-Jan-21,14-Jan-21,15-Jan-21,16-Jan-21,17-Jan-21,18-Jan-21,19-Jan-21,20-Jan-21,21-Jan-21,22-Jan-21,23-Jan-21,24-Jan-21,25-Jan-21,26-Jan-21,27-Jan-21,28-Jan-21,29-Jan-21,30-Jan-21,31-Jan-21,1-Feb-21,2-Feb-21,3-Feb-21,4-Feb-21,5-Feb-21,6-Feb-21,7-Feb-21,8-Feb-21,9-Feb-21,10-Feb-21,11-Feb-21,12-Feb-21,13-Feb-21,14-Feb-21,15-Feb-21,16-Feb-21,17-Feb-21,18-Feb-21,19-Feb-21,20-Feb-21,21-Feb-21,22-Feb-21,23-Feb-21,24-Feb-21,25-Feb-21,26-Feb-21,27-Feb-21,28-Feb-21,1-Mar-21,2-Mar-21,3-Mar-21,4-Mar-21,5-Mar-21,6-Mar-21,7-Mar-21,8-Mar-21,9-Mar-21,10-Mar-21,11-Mar-21,12-Mar-21,13-Mar-21,14-Mar-21,15-Mar-21,16-Mar-21,17-Mar-21,18-Mar-21,19-Mar-21,20-Mar-21,21-Mar-21,22-Mar-21,23-Mar-21,24-Mar-21,25-Mar-21,26-Mar-21,27-Mar-21,28-Mar-21,29-Mar-21,30-Mar-21,31-Mar-21,1-Apr-21,2-Apr-21,3-Apr-21,4-Apr-21,5-Apr-21,6-Apr-21,7-Apr-21,8-Apr-21,9-Apr-21,10-Apr-21,11-Apr-21,12-Apr-21,13-Apr-21,14-Apr-21,15-Apr-21,16-Apr-21,17-Apr-21,18-Apr-21,19-Apr-21,20-Apr-21,21-Apr-21,22-Apr-21,23-Apr-21,24-Apr-21,25-Apr-21,26-Apr-21,27-Apr-21,28-Apr-21,29-Apr-21,30-Apr-21,1-May-21,2-May-21,3-May-21,4-May-21,5-May-21,6-May-21,7-May-21,8-May-21,9-May-21,10-May-21,11-May-21,12-May-21,13-May-21,14-May-21,15-May-21,16-May-21,17-May-21,18-May-21,19-May-21,20-May-21,21-May-21,22-May-21,23-May-21,24-May-21,25-May-21,26-May-21,27-May-21,28-May-21,29-May-21,30-May-21,31-May-21,1-Jun-21,2-Jun-21,3-Jun-21,4-Jun-21,5-Jun-21,6-Jun-21,7-Jun-21,8-Jun-21,9-Jun-21,10-Jun-21,11-Jun-21,12-Jun-21,13-Jun-21,14-Jun-21,15-Jun-21,16-Jun-21,17-Jun-21,18-Jun-21,19-Jun-21,20-Jun-21,21-Jun-21,22-Jun-21,23-Jun-21,24-Jun-21,25-Jun-21,26-Jun-21,27-Jun-21,28-Jun-21,29-Jun-21,30-Jun-21,1-Jul-21,2-Jul-21,3-Jul-21,4-Jul-21,5-Jul-21,6-Jul-21,7-Jul-21,8-Jul-21,9-Jul-21,10-Jul-21,11-Jul-21,12-Jul-21,13-Jul-21,14-Jul-21,15-Jul-21,16-Jul-21,17-Jul-21,18-Jul-21,19-Jul-21,20-Jul-21,21-Jul-21,22-Jul-21,23-Jul-21,24-Jul-21,25-Jul-21,26-Jul-21,27-Jul-21,28-Jul-21,29-Jul-21,30-Jul-21,31-Jul-21,1-Aug-21,2-Aug-21,3-Aug-21,4-Aug-21,5-Aug-21,6-Aug-21,7-Aug-21,8-Aug-21,9-Aug-21,10-Aug-21,11-Aug-21,12-Aug-21,13-Aug-21,14-Aug-21,15-Aug-21,16-Aug-21,17-Aug-21,18-Aug-21,19-Aug-21,20-Aug-21,21-Aug-21,22-Aug-21,23-Aug-21,24-Aug-21,25-Aug-21,26-Aug-21,27-Aug-21,28-Aug-21,29-Aug-21,30-Aug-21,31-Aug-21,1-Sep-21,2-Sep-21,3-Sep-21,4-Sep-21,5-Sep-21,6-Sep-21,7-Sep-21,8-Sep-21,9-Sep-21,10-Sep-21,11-Sep-21,12-Sep-21,13-Sep-21,14-Sep-21,15-Sep-21,16-Sep-21,17-Sep-21,18-Sep-21,19-Sep-21,20-Sep-21,21-Sep-21,22-Sep-21,23-Sep-21,24-Sep-21,25-Sep-21,26-Sep-21,27-Sep-21,28-Sep-21,29-Sep-21,30-Sep-21,1-Oct-21,2-Oct-21,3-Oct-21,4-Oct-21,5-Oct-21,6-Oct-21,7-Oct-21,8-Oct-21,9-Oct-21,10-Oct-21,11-Oct-21,12-Oct-21,13-Oct-21,14-Oct-21,15-Oct-21,16-Oct-21,17-Oct-21,18-Oct-21,19-Oct-21,20-Oct-21,21-Oct-21,22-Oct-21,23-Oct-21,24-Oct-21,25-Oct-21,26-Oct-21,27-Oct-21,28-Oct-21,29-Oct-21,30-Oct-21,31-Oct-21,1-Nov-21,2-Nov-21,3-Nov-21,4-Nov-21,5-Nov-21,6-Nov-21,7-Nov-21,8-Nov-21,9-Nov-21,10-Nov-21,11-Nov-21,12-Nov-21,13-Nov-21,14-Nov-21,15-Nov-21,16-Nov-21,17-Nov-21,18-Nov-21,19-Nov-21,20-Nov-21,21-Nov-21,22-Nov-21,23-Nov-21,24-Nov-21,25-Nov-21,26-Nov-21,27-Nov-21,28-Nov-21,29-Nov-21,30-Nov-21,1-Dec-21,2-Dec-21,3-Dec-21,4-Dec-21,5-Dec-21,6-Dec-21,7-Dec-21,8-Dec-21,9-Dec-21,10-Dec-21,11-Dec-21,12-Dec-21,13-Dec-21,14-Dec-21,15-Dec-21,16-Dec-21,17-Dec-21,18-Dec-21,19-Dec-21,20-Dec-21,21-Dec-21,22-Dec-21,23-Dec-21,24-Dec-21,25-Dec-21,26-Dec-21,27-Dec-21,28-Dec-21,29-Dec-21,30-Dec-21,31-Dec-21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MET. SUBDIVISION: BIHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT: ARARIA,"2,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARARIA,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,26.8,2.4,0.0,0.0,14.2,0.0,16.8,12.4,2.2,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,2.6,0.0,0.0,6.4,2.8,4.2,66.6,19.0,14.4,10.6,0.4,0.0,0.0,0.0,0.0,1.4,0.0,1.2,10.4,0.0,0.0,20.4,8.5,0.0,62.2,9.2,6.6,0.0,1.4,20.4,6.4,1.4,0.0,0.0,3.4,4.2,0.6,0.0,14.8,18.4,2.4,17.4,2.2,12.4,0.0,2.4,1.2,3.0,7.4,0.0,12.6,0.0,0.0,5.0,6.2,0.0,0.0,24.0,9.6,71.0,0.6,0.0,7.4,2.4,8.4,0.0,29.0,0.0,5.0,0.0,3.6,4.0,7.0,1.6,12.0,0.0,0.0,0.0,2.8,3.2,16.4,0.0,22.6,13.8,1.2,7.6,0.0,6.2,0.0,10.0,7.2,4.2,2.0,0.0,7.6,2.2,30.4,5.0,14.2,5.6,5.2,11.6,0.0,4.0,0.6,0.0,0.0,0.0,3.0,0.0,0.0,2.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,6.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,27.0,0.0,0.0,4.0,31.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,34.4,75.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0
FORBESGANJ,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,106.4,8.4,0.0,0.0,12.0,0.0,21.4,2.2,41.7,8.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,25.4,6.0,0.0,0.0,3.2,2.2,2.2,56.6,6.8,117.4,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,94.2,1.0,0.0,1.0,3.0,0.0,52.7,10.6,2.3,0.0,18.4,20.4,5.2,7.4,3.4,6.5,,8.4,30.4,1.0,0.0,31.4,80.1,59.4,46.6,7.4,4.2,0.0,,3.2,4.0,0.0,132.4,0.0,0.0,71.3,4.2,0.0,0.0,88.2,3.2,26.2,2.0,0.0,9.0,3.3,0.0,0.0,120.4,3.4,16.4,2.2,41.4,23.4,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,1.2,10.0,41.5,42.4,12.2,36.6,29.5,52.2,24.4,2.4,79.2,57.4,108.4,24.2,44.2,36.4,20.2,24.4,8.0,12.0,82.4,70.0,0.0,1.5,11.0,0.0,0.0,0.0,24.2,1.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,23.4,2.2,11.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,24.5,4.2,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.2,14.2,257.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0
Jokihat,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,24.8,0.0,0.0,0.0,5.8,0.0,26.4,10.4,0.0,33.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,16.0,2.4,8.2,57.4,26.0,0.0,38.6,0.0,57.4,0.0,0.0,0.0,2.4,26.0,7.0,0.0,0.0,0.0,29.4,12.4,0.0,26.4,10.4,2.4,0.0,1.4,10.0,2.4,0.0,2.2,0.0,0.0,0.0,11.4,0.0,10.4,20.4,18.6,28.4,21.8,0.0,0.0,2.2,0.0,8.4,,0.0,,0.0,0.0,18.4,8.2,0.0,0.0,18.4,8.4,10.2,0.0,0.0,8.4,4.4,1.2,0.0,18.2,2.8,0.0,4.6,4.2,4.6,4.6,0.0,22.4,0.0,0.0,0.0,0.0,4.2,13.8,0.0,28.4,80.4,28.2,0.0,2.4,16.4,0.0,0.0,28.4,18.4,18.4,4.2,6.2,0.0,10.8,18.2,20.2,20.8,40.2,15.4,0.0,6.4,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,8.2,8.2,2.2,21.2,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,72.4,60.2,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
